=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 88 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000BYVJS2 | Datensatz: B000BYVJS2
ERROR | Datei: leipzig_transformed.xml | Zeile: 91 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00009AHNC | Datensatz: B00009AHNC
ERROR | Datei: leipzig_transformed.xml | Zeile: 91 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002Z7K24 | Datensatz: B0002Z7K24
ERROR | Datei: leipzig_transformed.xml | Zeile: 95 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007UPSZ0 | Datensatz: B0007UPSZ0
ERROR | Datei: leipzig_transformed.xml | Zeile: 97 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B000063XSP | Datensatz: B000063XSP
ERROR | Datei: leipzig_transformed.xml | Zeile: 98 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00009RG5C | Datensatz: B00009RG5C
ERROR | Datei: leipzig_transformed.xml | Zeile: 99 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000025KMH | Datensatz: B000025KMH
ERROR | Datei: leipzig_transformed.xml | Zeile: 99 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00006RJ22 | Datensatz: B00006RJ22
ERROR | Datei: leipzig_transformed.xml | Zeile: 99 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000E39MD | Datensatz: B0000E39MD
ERROR | Datei: leipzig_transformed.xml | Zeile: 99 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002K7204 | Datensatz: B0002K7204
ERROR | Datei: leipzig_transformed.xml | Zeile: 102 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002Z7K24 | Datensatz: B0002Z7K24
ERROR | Datei: leipzig_transformed.xml | Zeile: 103 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00002DDTY | Datensatz: B00002DDTY
ERROR | Datei: leipzig_transformed.xml | Zeile: 103 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00005YXLJ | Datensatz: B00005YXLJ
ERROR | Datei: leipzig_transformed.xml | Zeile: 103 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00007GQGQ | Datensatz: B00007GQGQ
ERROR | Datei: leipzig_transformed.xml | Zeile: 104 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00000B44F | Datensatz: B00000B44F
